0.04867	212.29	199.85	0.57	21.83	0	-2	0	1
0.04867	204.63	199.85	0.6	7.97	0	0	0	1
0.09193	98.13	103.81	0.52	-10.93	0	0	-1	1
0.09193	96.87	103.81	0.6	-11.57	0	-2	1	1
0.09193	100.3	103.81	0.53	-6.63	0	0	1	1
0.09193	97.57	103.81	0.6	-10.41	0	-2	-1	1
0.13133	137.15	136.06	0.93	1.17	1	1	0	1
0.13133	130.81	136.06	0.86	-6.11	-1	1	0	1
0.13133	146.05	136.06	1.8	5.55	-1	-3	0	1
0.13133	131.83	136.06	0.75	-5.64	1	-3	0	1
0.13891	63.16	75.73	0.69	-18.22	-1	1	1	1
0.13891	62.61	75.73	0.59	-22.24	1	-3	-1	1
0.13891	71.31	75.73	1.03	-4.29	-1	-3	1	1
0.13891	64.29	75.73	0.66	-17.33	1	1	-1	1
0.16339	54.13	59.23	0.73	-6.99	0	0	2	1
0.16339	54.09	59.23	0.8	-6.43	0	-2	-2	1
0.16339	51.53	59.23	0.67	-11.5	0	0	-2	1
0.16339	63.42	59.23	0.86	4.87	0	-2	2	1
0.16541	111.66	118.56	1.19	-5.8	-1	-3	-1	1
0.16541	122.01	118.56	0.97	3.56	1	1	1	1
0.16541	116.05	118.56	1.26	-1.99	-1	1	-1	1
0.16541	119.78	118.56	1.05	1.16	1	-3	1	1
0.16541	140.98	118.56	2.83	7.92	-1	1	-1	1
0.17742	47.18	52.43	0.7	-7.5	2	0	-1	1
0.17742	55.69	52.43	0.78	4.18	-2	-2	1	1
0.17742	50.13	52.43	0.68	-3.38	2	-2	-1	1
0.17742	51.45	52.43	0.35	-2.8	-2	0	1	1
0.17742	54.66	52.43	0.77	2.9	2	-2	-1	1
0.18292	87.94	92.79	1.17	-4.14	2	0	0	1
0.18292	83.06	92.79	1.11	-8.76	2	0	0	1
0.18292	86.16	92.79	0.95	-6.98	-2	-2	0	1
0.18292	81.89	92.79	1.01	-10.79	-2	0	0	1
0.18292	90.43	92.79	1.15	-2.05	-2	-2	0	1
0.18292	86.17	92.79	0.83	-7.97	-2	0	0	1
0.18292	96.49	92.79	1.21	3.06	2	-2	0	1
0.18306	28.25	31.97	0.56	-6.63	1	1	-2	1
0.18306	32.47	31.97	0.6	0.84	-1	1	2	1
0.18306	31.91	31.97	0.64	-0.09	-1	-3	2	1
0.18306	28.57	31.97	0.55	-6.17	1	-3	-2	1
0.2137	91.11	86.15	1.09	4.55	-1	3	0	1
0.2137	90.8	86.15	1.37	3.4	-1	-5	0	1
0.2137	89.58	86.15	1	3.43	1	3	0	1
0.21818	97.02	84.4	2.58	4.89	2	0	1	1
0.21818	91.08	84.4	2.13	3.13	-2	-2	-1	1
0.21818	91.82	84.4	1.78	4.17	-2	0	-1	1
0.21818	100.54	84.4	2.16	7.47	2	-2	1	1
0.21818	96.9	84.4	2.46	5.08	-2	0	-1	1
0.21845	70.06	69.43	1.09	0.58	-1	-5	1	1
0.2228	65.68	69.67	0.97	-4.11	-1	-3	-2	1
0.2228	66.45	69.67	0.92	-3.5	-1	1	-2	1
0.23619	87.88	73.48	1.04	13.85	1	-5	1	1
0.23619	77.71	73.48	0.96	4.41	-1	3	-1	1
0.23619	78.42	73.48	1.26	3.92	-1	-5	-1	1
0.23619	78.32	73.48	1	4.84	1	3	1	1
0.23897	32.47	32.34	0.71	0.18	0	0	3	1
0.23897	33.67	32.34	0.76	1.75	0	-2	3	1
0.23897	36.36	32.34	0.86	4.67	0	-2	-3	1
0.23897	32.11	32.34	0.63	-0.37	0	0	-3	1
0.24334	75.1	67.61	1.2	6.24	0	-6	0	1
0.24334	70.75	67.61	0.96	3.27	0	4	0	1
0.24472	19.91	16.58	0.59	5.64	1	1	-3	1
0.24886	44.42	41.36	0.82	3.73	1	3	-2	1
0.24886	49.38	41.36	0.99	8.1	-1	-5	2	1
0.24886	49.07	41.36	0.96	8.03	-1	3	2	1
0.24886	43.4	41.36	0.89	2.29	1	-5	-2	1
0.25553	59.69	57.72	0.95	2.07	0	4	1	1
0.25553	57.07	57.72	0.91	-0.72	0	4	-1	1
0.25553	60.74	57.72	1.03	2.93	0	-6	-1	1
0.25553	64.63	57.72	1.06	6.52	0	-6	1	1
0.27095	36.61	33.76	1.86	1.53	-3	-3	1	1
0.27187	57.83	52.44	1.37	3.93	-2	-2	-2	1
0.27187	57.41	52.44	1.26	3.95	-2	0	-2	1
0.27187	62.23	52.44	1.65	5.93	2	0	2	1
0.27187	62.68	52.44	2.05	5	2	-2	2	1
0.27939	58.77	46.61	1.04	11.69	1	-5	2	1
0.27939	53.14	46.61	1.05	6.22	-1	3	-2	1
0.27939	56.56	46.61	0.96	10.36	1	3	2	1
0.27939	52.48	46.61	1.06	5.54	-1	-5	-2	1
0.28904	39.52	37.62	0.84	2.27	0	4	2	1
0.28904	42.12	37.62	0.88	5.12	0	-6	-2	1
0.28904	42.19	37.62	1.01	4.53	0	-6	2	1
0.28904	36.06	37.62	0.75	-2.08	0	4	-2	1
0.28996	36.9	34.49	0.91	2.65	-1	-3	-3	1
0.28996	39.95	34.49	0.86	6.35	1	1	3	1
0.28996	35.45	34.49	0.84	1.14	-1	1	-3	1
0.28996	39.72	34.49	0.84	6.22	1	-3	3	1
0.29717	22.55	21.13	0.72	1.97	-1	-5	3	1
0.29717	22.95	21.13	0.66	2.76	1	3	-3	1
0.29717	22.46	21.13	0.62	2.14	-1	3	3	1
0.29717	23.79	21.13	0.71	3.75	1	-5	-3	1
0.29719	40.31	33.81	1.39	4.68	-2	-6	1	1
0.29719	40.82	33.81	1.53	4.58	-2	4	1	1
0.29719	34.71	33.81	1.36	0.66	2	4	-1	1
0.30051	44.44	38.25	1.48	4.18	2	4	0	1
0.30051	41.95	38.25	1.29	2.86	-2	4	0	1
0.30051	44.77	38.25	1.21	5.38	-2	-6	0	1
0.31374	10	9.03	0.49	1.97	1	1	-4	1
0.31374	10.25	9.03	0.47	2.59	-1	-3	4	1
0.31374	10.25	9.03	0.57	2.14	1	-3	-4	1
0.31374	10.11	9.03	0.57	1.89	-1	1	4	1
0.31385	26.2	22.68	1.14	3.08	-2	-6	2	1
0.31385	23.13	22.68	1.15	0.39	-2	4	2	1
0.31572	20.29	15.77	0.68	6.65	0	-2	4	1
0.31572	16.77	15.77	0.57	1.75	0	0	-4	1
0.31572	18.84	15.77	0.68	4.51	0	0	4	1
0.31572	16.98	15.77	0.71	1.7	0	-2	-4	1
0.32319	38.47	32.43	1.51	4	2	4	1	1
0.32319	40.68	32.43	1.5	5.5	-2	-6	-1	1
0.32319	41.62	32.43	1.63	5.64	2	-6	1	1
0.32319	32.77	32.43	1.47	0.23	-2	4	-1	1
0.33524	33.09	26.48	1.34	4.93	2	-2	3	1
0.33524	29.1	26.48	1.39	1.88	-2	0	-3	1
0.33524	32.1	26.48	1.35	4.16	2	0	3	1
0.33524	32.07	26.48	1.33	4.2	-2	-2	-3	1
0.33541	26.25	24.42	0.82	2.24	-1	-5	-3	1
0.33541	25.35	24.42	0.73	1.28	-1	3	-3	1
0.33541	24.08	24.42	0.71	-0.47	1	3	3	1
0.33541	29.6	24.42	0.78	6.65	1	-5	3	1
0.33757	21.8	20.35	0.67	2.16	0	-6	3	1
0.33757	19.5	20.35	0.57	-1.5	0	4	-3	1
0.33757	21.37	20.35	0.68	1.49	0	-6	-3	1
0.33757	20.81	20.35	0.61	0.75	0	4	3	1
0.34068	36.45	28.46	0.81	9.87	0	6	0	1
0.3615	15.01	15.32	0.75	-0.41	-1	1	-4	1
0.3615	16.5	15.32	0.61	1.94	1	1	4	1
0.3615	14.81	15.32	0.84	-0.6	-1	-3	-4	1
0.3615	17.21	15.32	0.65	2.92	1	-3	4	1
0.36161	25.1	21.48	1.51	2.4	2	4	2	1
0.36161	25.26	21.48	1.28	2.95	-2	-6	-2	1
0.36161	22.72	21.48	1.15	1.08	-2	4	-2	1
0.37468	19.08	17.88	0.59	2.03	0	6	2	1
0.37468	19.76	17.88	0.58	3.23	0	6	-2	1
0.37468	21.49	17.88	0.71	5.08	0	-8	-2	1
0.37468	20.99	17.88	0.72	4.31	0	-8	2	1
0.3836	20.22	17.39	1.22	2.32	-2	-8	0	1
0.39563	8.8	9.69	0.5	-1.78	0	4	4	1
0.39563	10.57	9.69	0.53	1.66	0	4	-4	1
0.39563	9.58	9.69	0.51	-0.22	0	-6	-4	1
0.39563	8.94	9.69	0.53	-1.42	0	-6	4	1
0.39888	10.83	11.22	0.68	-0.57	1	3	4	1
