0.09734	122.61	113.77	0.69	12.81	0	-2	0	0
0.1007	92.25	89.9	2.34	1.01	1	-1	0	0
0.11041	33.16	34.45	1.47	-0.88	1	1	-1	0
0.14232	59.26	50.58	0.81	10.71	-1	1	-1	0
0.15597	1068.48	981.23	3.29	26.52	0	0	2	0
0.1625	218.37	206.34	7.48	1.61	1	1	-2	0
0.17056	2290.96	2323.23	5.13	-6.28	-1	3	0	0
0.17646	8.64	3.32	0.35	15.19	1	-3	-1	0
0.18385	512.69	456.1	11	5.15	0	2	2	0
0.19467	124.2	125.54	1.26	-1.06	0	-4	0	0
0.19642	90.84	90.47	3.87	0.1	2	2	-1	0
0.198	4497.92	4989.11	124.77	-3.94	-1	-3	-1	0
0.19822	4989.44	5031.47	243.65	-0.17	2	0	-2	0
0.20141	28.22	29.8	1.39	-1.14	-2	2	0	0
0.20623	658.24	704.5	13.32	-3.47	-1	1	-2	0
0.21269	375.12	311.86	18.01	3.51	-2	0	-1	0
0.21296	363.58	352.31	2.16	5.22	1	-3	-2	0
0.22974	881.47	894.35	7	-1.84	-1	1	3	0
0.2339	237.84	226.52	9.96	1.14	2	-2	1	0
0.23396	6.26	7.04	0.38	-2.06	0	0	3	0
0.24795	54.94	38.93	0.91	17.6	1	-3	2	0
0.24945	475.69	448.8	7.32	3.68	0	-4	2	0
0.2534	961.5	976.09	5.9	-2.47	0	-2	3	0
0.25882	81.39	80.69	3	0.23	1	-5	0	0
0.25885	89.33	95.69	2.71	-2.34	2	-4	-1	0
0.26265	30.38	29.96	1.38	0.3	2	-4	0	0
0.26275	28.64	31.93	0.65	-5.07	1	5	-1	0
0.26667	786.04	698.17	12.3	7.14	-2	-2	3	0
0.26748	1910.5	1768.65	8.64	16.42	2	0	2	0
0.26783	1817.41	1778.92	40.98	0.94	-1	3	3	0
0.27744	864.8	841.77	19.27	1.2	1	-1	3	0
0.27767	63.45	58.69	1.36	3.51	1	-5	1	0
0.27783	53.83	39.51	3.13	4.57	2	-4	-2	0
0.28464	1026.48	911.89	15.77	7.27	2	-2	2	0
0.28833	249.93	214.71	8.3	4.25	2	-4	1	0
0.28853	236.55	212.71	4.11	5.8	1	-5	-2	0
0.29199	9001.36	8357.02	104.86	6.14	-3	-3	1	0
0.30083	497.13	462.64	17.21	2	3	-1	1	0
0.30128	553.62	430.46	32.37	3.81	-3	-1	3	0
0.30211	1749.6	1443.1	44.26	6.92	-3	3	0	0
0.3022	600.46	610.11	6.02	-1.6	1	1	-4	0
0.30224	1504.49	1399.29	45.88	2.29	0	6	1	0
0.30234	1677.28	1356.8	53.72	5.97	-3	-3	2	0
0.30436	921.08	945.47	3.29	-7.42	0	4	-3	0
0.30971	1460.75	1586.32	29.33	-4.28	1	3	3	0
0.31007	1652.73	1598.37	8.47	6.42	2	0	-4	0
0.31195	2755.38	3030.32	5.65	-48.66	0	0	4	0
0.31524	699.63	709.35	14.32	-0.68	-1	5	-2	0
0.31549	728.42	673.2	6.51	8.48	2	-4	-3	0
0.32499	914.48	847.91	13.27	5.02	-2	2	4	0
0.32678	352.19	365.09	5.35	-2.41	0	2	-4	0
0.33082	955.78	866.11	28.39	3.16	2	-4	2	0
0.33105	932.39	906.63	42.64	0.6	0	-6	-2	0
0.3311	918.85	911.03	4.35	1.8	1	-5	-3	0
0.33169	116.37	91.29	2.25	11.15	-2	0	-3	0
0.33207	103.43	72.57	1.43	21.58	1	-3	-4	0
0.3382	2744.42	2348.91	53.71	7.36	2	-6	-1	0
0.34568	657.59	591.41	10.41	6.36	2	-2	3	0
0.34762	1158.54	951.58	32.76	6.32	3	-1	2	0
0.35154	152.14	145.26	1.77	3.88	1	-1	4	0
0.3519	90.38	90.39	2.94	0	1	-7	0	0
0.35293	5446.17	4812.34	20.02	31.66	2	-6	-2	0
0.3548	33.96	32.28	0.96	1.74	-1	7	1	0
0.36125	360.61	309.17	3.83	13.43	2	6	1	0
0.36581	779.11	830.98	16.54	-3.14	-1	5	-3	0
0.36599	47.29	40.9	1.01	6.29	-1	7	-1	0
0.36612	845.97	835.08	46.46	0.23	2	4	-4	0
0.36771	311.02	338.86	3.71	-7.5	0	4	-4	0
0.37417	6.57	6.63	0.4	-0.14	0	6	-3	0
0.37429	195.67	189.94	5.59	1.02	1	7	-2	0
