7.00 1.24113e+01 2.73915e-01 1.01741e+01 8.69018e-03 9.30279e-01 1.99432e-02
9.00 1.21989e+01 2.58498e-01 1.01795e+01 8.26071e-03 9.19556e-01 1.89152e-02
11.00 1.21813e+01 3.25534e-01 1.01757e+01 1.05429e-02 9.33301e-01 2.42019e-02
13.00 1.23803e+01 2.73290e-01 1.01700e+01 8.80261e-03 9.45570e-01 2.01585e-02
15.00 1.22806e+01 2.74399e-01 1.01740e+01 8.91874e-03 9.45989e-01 2.05098e-02
17.00 1.18541e+01 2.82191e-01 1.01739e+01 9.44623e-03 9.41310e-01 2.17124e-02
19.00 1.17631e+01 2.28387e-01 1.01805e+01 7.63177e-03 9.30165e-01 1.75250e-02
20.00 1.15708e+01 3.41206e-01 1.01755e+01 1.13301e-02 9.03315e-01 2.56746e-02
21.00 1.15391e+01 3.45435e-01 1.01804e+01 1.16600e-02 9.19904e-01 2.66823e-02
23.00 1.10285e+01 2.29846e-01 1.01709e+01 8.10617e-03 9.20325e-01 1.85479e-02
25.00 1.10632e+01 2.94457e-01 1.01716e+01 1.04166e-02 9.28204e-01 2.40087e-02
27.00 1.08835e+01 2.49825e-01 1.01693e+01 8.96749e-03 9.28076e-01 2.06881e-02
29.00 1.05869e+01 2.47253e-01 1.01766e+01 9.03424e-03 9.16502e-01 2.07982e-02
31.00 1.03142e+01 2.49509e-01 1.01654e+01 9.56734e-03 9.44779e-01 2.22363e-02
33.00 1.00784e+01 2.26135e-01 1.01823e+01 8.69444e-03 9.18889e-01 2.00151e-02
35.00 1.02272e+01 2.58897e-01 1.01811e+01 1.04329e-02 9.94983e-01 2.43518e-02
36.00 9.47720e+00 4.55393e-01 1.01877e+01 1.70994e-02 8.27206e-01 3.88448e-02
37.00 9.20977e+00 2.22856e-01 1.01890e+01 9.59104e-03 9.52951e-01 2.24481e-02
39.00 9.04873e+00 2.18259e-01 1.01740e+01 9.58511e-03 9.57292e-01 2.25205e-02
41.00 8.65830e+00 2.24987e-01 1.01746e+01 1.01267e-02 9.36375e-01 2.37398e-02
43.00 8.18096e+00 2.27877e-01 1.01721e+01 1.11159e-02 9.68833e-01 2.62588e-02
45.00 7.88135e+00 2.14511e-01 1.01737e+01 1.08114e-02 9.66905e-01 2.57014e-02
47.00 7.43452e+00 1.98084e-01 1.01819e+01 1.05303e-02 9.64644e-01 2.51857e-02
49.00 7.43950e+00 2.04432e-01 1.01767e+01 1.10112e-02 9.82652e-01 2.62984e-02
50.00 6.90935e+00 2.38914e-01 1.01877e+01 1.38500e-02 9.86189e-01 3.30780e-02
51.00 6.59057e+00 2.26349e-01 1.01641e+01 1.31560e-02 9.32094e-01 3.15000e-02
53.00 6.69756e+00 1.92814e-01 1.01902e+01 1.16873e-02 1.00834e+00 2.81183e-02
55.00 6.39119e+00 1.95677e-01 1.01793e+01 1.24863e-02 1.01946e+00 3.02510e-02
57.00 5.72936e+00 1.65919e-01 1.01788e+01 1.11032e-02 9.39384e-01 2.65483e-02
59.00 5.16038e+00 1.52964e-01 1.01567e+01 1.15902e-02 9.77783e-01 2.82420e-02
61.00 4.87017e+00 1.70447e-01 1.01597e+01 1.38643e-02 1.00318e+00 3.41289e-02
63.00 4.64128e+00 1.48740e-01 1.01684e+01 1.35395e-02 1.11541e+00 3.38243e-02
65.00 4.29871e+00 1.64656e-01 1.01581e+01 1.54081e-02 1.03732e+00 3.80465e-02
66.00 4.01641e+00 5.16269e-01 1.00930e+01 4.87336e-02 9.51627e-01 1.16584e-01
67.00 3.89082e+00 1.49279e-01 1.01389e+01 1.59312e-02 1.11179e+00 4.02266e-02
69.00 3.07118e+00 1.24716e-01 1.01140e+01 1.59775e-02 1.03875e+00 4.01927e-02
71.00 2.88049e+00 1.60168e-01 1.01370e+01 2.27197e-02 1.11754e+00 5.85930e-02
73.00 2.39912e+00 1.58747e-01 1.01452e+01 2.82803e-02 1.24254e+00 7.39819e-02
75.00 2.34493e+00 1.57264e-01 1.01026e+01 2.83518e-02 1.24199e+00 7.51752e-02
77.00 1.96816e+00 1.82468e-01 1.02007e+01 4.07464e-02 1.37160e+00 1.09963e-01
79.00 1.89972e+00 2.20764e-01 1.01816e+01 5.19728e-02 1.60842e+00 1.49614e-01
80.00 1.86684e+00 4.08920e-01 9.93561e+00 9.01727e-02 1.57181e+00 2.67464e-01
81.00 1.66772e+00 2.41996e-01 1.00498e+01 6.23903e-02 1.49758e+00 1.76572e-01
83.00 1.83777e+00 3.49383e-01 1.00874e+01 8.05357e-02 1.87675e+00 2.52986e-01
85.00 1.39850e+00 2.13874e-01 9.97872e+00 6.35984e-02 1.59996e+00 1.87607e-01
87.00 1.49224e+00 3.91425e-01 9.95533e+00 1.03031e-01 2.04027e+00 3.39474e-01
89.00 3.69466e-01 8.87233e-02 9.97998e+00 5.90460e-02 5.92724e-01 1.45646e-01
91.00 1.05678e+00 5.64170e-01 9.99711e+00 2.07851e-01 2.14117e+00 7.02548e-01
93.00 6.38373e-01 2.09126e-01 1.00317e+01 1.35291e-01 1.40692e+00 3.77810e-01
250.00 1.28875e-01 1.04427e-01 1.00382e+01 6.58918e-02 1.52572e-01 1.19404e-01
